# f2_ablation_sweep provenance (W3C PROV / RO-Crate, arXiv:2312.07852)
# prov:generatedAt = 1780324947 (unix seconds UTC)
# prov:wasGeneratedBy = f2_ablation_sweep --mode all --steps 200
# prov:agent_git_sha = be9b4c4
# prov:host = playras-MacBook-Pro.local
# prov:trainer_internals_schema = trainer_internals_v1_2026_06_01
# prov:cargo_pkg_version = 0.1.0
# Bump trainer_internals_schema in src/race/multi_seed.rs when LCG/init/forward changes.
mode,fix_name,fix_index,cumulative_n,seed,bpb,config_hash,wall_s
pairwise,pair_gradclip_wd,13,,44,0.615054,0x6ec32624a828e81e,1.364
pairwise,pair_gradclip_wd,13,,45,0.623408,0x6ec32624a828e81e,1.364
pairwise,pair_gradclip_wd,13,,46,0.249285,0x6ec32624a828e81e,1.364
pairwise,pair_gradclip_dropout,14,,42,5.043577,0xfcffebfc73d6006d,1.437
pairwise,pair_gradclip_dropout,14,,43,5.030455,0xfcffebfc73d6006d,1.437
pairwise,pair_gradclip_dropout,14,,44,5.027576,0xfcffebfc73d6006d,1.437
pairwise,pair_gradclip_dropout,14,,45,5.010108,0xfcffebfc73d6006d,1.437
pairwise,pair_gradclip_dropout,14,,46,5.037486,0xfcffebfc73d6006d,1.437
pairwise,pair_clamp_smooth,15,,42,5.129347,0xd271bebe0a80ba51,1.462
pairwise,pair_clamp_smooth,15,,43,5.140352,0xd271bebe0a80ba51,1.462
pairwise,pair_clamp_smooth,15,,44,5.115363,0xd271bebe0a80ba51,1.462
pairwise,pair_clamp_smooth,15,,45,5.138470,0xd271bebe0a80ba51,1.462
pairwise,pair_clamp_smooth,15,,46,5.110578,0xd271bebe0a80ba51,1.462
pairwise,pair_clamp_wd,16,,42,0.432918,0x6ec32624a828e81e,1.477
pairwise,pair_clamp_wd,16,,43,0.690983,0x6ec32624a828e81e,1.477
pairwise,pair_clamp_wd,16,,44,0.819032,0x6ec32624a828e81e,1.477
pairwise,pair_clamp_wd,16,,45,0.708475,0x6ec32624a828e81e,1.477
pairwise,pair_clamp_wd,16,,46,0.258556,0x6ec32624a828e81e,1.477
pairwise,pair_clamp_dropout,17,,42,5.008284,0xfcffebfc73d6006d,1.435
pairwise,pair_clamp_dropout,17,,43,5.080424,0xfcffebfc73d6006d,1.435
pairwise,pair_clamp_dropout,17,,44,5.045461,0xfcffebfc73d6006d,1.435
pairwise,pair_clamp_dropout,17,,45,5.060328,0xfcffebfc73d6006d,1.435
pairwise,pair_clamp_dropout,17,,46,5.022042,0xfcffebfc73d6006d,1.435
pairwise,pair_smooth_wd,18,,42,0.432918,0x129190b160597e0d,1.531
pairwise,pair_smooth_wd,18,,43,0.690983,0x129190b160597e0d,1.531
pairwise,pair_smooth_wd,18,,44,0.819032,0x129190b160597e0d,1.531
pairwise,pair_smooth_wd,18,,45,0.708475,0x129190b160597e0d,1.531
pairwise,pair_smooth_wd,18,,46,0.258556,0x129190b160597e0d,1.531
pairwise,pair_smooth_dropout,19,,42,5.008284,0xab7f45dec6c6d62e,1.440
pairwise,pair_smooth_dropout,19,,43,5.080424,0xab7f45dec6c6d62e,1.440
pairwise,pair_smooth_dropout,19,,44,5.045461,0xab7f45dec6c6d62e,1.440
pairwise,pair_smooth_dropout,19,,45,5.060328,0xab7f45dec6c6d62e,1.440
pairwise,pair_smooth_dropout,19,,46,5.022042,0xab7f45dec6c6d62e,1.440
pairwise,pair_wd_dropout,20,,42,0.283853,0xe5035e0edbe7ee0d,1.394
pairwise,pair_wd_dropout,20,,43,0.692958,0xe5035e0edbe7ee0d,1.394
